snapshot_date,source,format,player,position,team,age,value,overall_rank,position_rank,trend,url
2026-06-23,KeepTradeCut,1QB,Bijan Robinson,RB,ATL,24.4,9999,1,1,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Bijan Robinson,RB,ATL,24.4,9999,1,1,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Josh Allen,QB,BUF,30.1,7675,12,1,1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Josh Allen,QB,BUF,30.1,9997,2,1,1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Ja'Marr Chase,WR,CIN,26.3,9995,2,1,-1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Ja'Marr Chase,WR,CIN,26.3,9976,3,1,-1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Jahmyr Gibbs,RB,DET,24.3,9995,3,2,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Jahmyr Gibbs,RB,DET,24.3,9857,4,2,1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Jaxon Smith-Njigba,WR,SEA,24.4,9843,4,2,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Jaxon Smith-Njigba,WR,SEA,24.4,9629,5,2,-1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Drake Maye,QB,NEP,23.8,6625,25,2,-1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Drake Maye,QB,NEP,23.8,9397,6,2,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Puka Nacua,WR,LAR,25.1,8833,5,3,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Puka Nacua,WR,LAR,25.1,8749,7,3,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Brock Bowers,TE,LVR,23.5,8239,6,1,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Brock Bowers,TE,LVR,23.5,8122,8,1,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Caleb Williams,QB,CHI,24.6,5728,47,6,3,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Caleb Williams,QB,CHI,24.6,8033,9,3,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Amon-Ra St. Brown,WR,DET,26.7,8058,7,4,1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Amon-Ra St. Brown,WR,DET,26.7,7916,10,4,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Jayden Daniels,QB,WAS,25.5,6231,36,4,-4,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Jayden Daniels,QB,WAS,25.5,7824,11,4,-1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Justin Jefferson,WR,MIN,27.0,7940,9,5,-2,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Justin Jefferson,WR,MIN,27.0,7686,12,5,0,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Ashton Jeanty,RB,LVR,22.6,7982,8,3,2,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Ashton Jeanty,RB,LVR,22.6,7672,13,3,3,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Lamar Jackson,QB,BAL,29.4,6248,34,3,3,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Lamar Jackson,QB,BAL,29.4,7623,14,5,1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Jeremiyah Love,RB,ARI,21.1,7921,10,4,1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Jeremiyah Love,RB,ARI,21.1,7561,15,4,-1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Malik Nabers,WR,NYG,22.9,7723,11,6,-2,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Malik Nabers,WR,NYG,22.9,7473,16,6,-3,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Joe Burrow,QB,CIN,29.5,5745,45,5,4,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Joe Burrow,QB,CIN,29.5,7437,17,6,1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,Trey McBride,TE,ARI,26.6,7663,13,2,-1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,SF,Trey McBride,TE,ARI,26.6,7378,18,2,-1,https://keeptradecut.com/dynasty-rankings
2026-06-23,KeepTradeCut,1QB,CeeDee Lamb,WR,DAL,27.2,7617,14,7,0,https://keeptradecut.com/dynasty-rankings
