human_agency	Human Agency
contech_audit	Contech AI Workflow Audit
premier_hvac	Premier HVAC
rem_residential	R.E.M. Residential
hubspot_mcp	HubSpot MCP
prior_gbrain	GBrain Evaluation
entity_propagation	Consulting Entity Propagation Template
ai_enablement_sprint	AI Enablement Sprint
new_york_heating	New York Heating Corp
petri	Petri Plumbing
conner_strong	Conner Strong
sdl_ghs	SDL+GHS
maxwell	Maxwell Plumb
contacts	Warm Contacts Log
events	Events Log
salesforce_data_cloud	Salesforce Data Cloud
cloudflare_code	Cloudflare MCP Code Mode
scrapling	Scrapling Evaluation
routesafe	RouteSafe MVP Plan
cron_audit	Full Cron Job Audit
